epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.72358,1.75395,3.68922,1.27214,0.00589,0.5,0.10565,0.03115,1.70347,3.35264,1.27831,3.334e-05,3.334e-05,3.334e-05
2,2.73733,1.65362,3.60365,1.25565,0.00607,0.5,0.16346,0.06533,1.46708,3.33595,1.16553,8.25248e-05,8.25248e-05,8.25248e-05
3,3.80924,1.52657,3.26929,1.17279,0.00602,0.5,0.29467,0.13814,1.38077,3.283,1.07469,0.000130719,0.000130719,0.000130719
4,4.90016,1.55487,2.99489,1.08818,0.00593,0.5,0.46254,0.2408,1.17188,3.15062,0.98817,0.000177924,0.000177924,0.000177924
5,6.00275,1.6065,2.62516,1.10599,0.00602,0.5,0.47257,0.26866,1.27716,3.14683,1.01492,0.000224138,0.000224138,0.000224138
6,7.04899,1.38349,2.12416,1.01455,0.00591,0.5,0.49417,0.25026,1.33494,3.13583,1.08883,0.000269362,0.000269362,0.000269362
7,8.06538,1.38207,1.97382,1.06211,0.00611,0.5,0.46812,0.21381,1.37346,3.10751,1.13236,0.000313596,0.000313596,0.000313596
8,9.0652,1.45939,1.80566,1.10048,0.00583,0.5,0.46809,0.22585,1.34631,3.02452,1.07195,0.00035684,0.00035684,0.00035684
9,10.1055,1.41839,1.64324,1.08229,0.00609,0.5,0.45611,0.23699,1.23581,2.89669,1.02286,0.000399093,0.000399093,0.000399093
10,11.0937,1.39001,1.58758,1.09531,0.0061,0.5,0.46061,0.24969,1.1518,2.83394,0.99001,0.000440356,0.000440356,0.000440356
11,12.1405,1.59826,2.08741,1.50236,0.00658,0.5,0.46812,0.27289,1.09068,2.85198,0.98714,0.000480629,0.000480629,0.000480629
12,13.1372,1.29781,1.32982,1.06359,0.00642,0.5,0.46622,0.27729,1.13156,2.88076,1.0011,0.000519912,0.000519912,0.000519912
13,14.1626,1.48701,1.48503,1.21042,0.00673,0.5,0.44314,0.23038,1.24526,2.96114,1.05489,0.000558205,0.000558205,0.000558205
14,15.1507,1.3513,1.40242,1.15265,0.00673,0.5,0.42301,0.19269,1.26525,2.92767,1.13167,0.000595507,0.000595507,0.000595507
